Name,Active substance,Date of authorisation / refusal,Status,Therapeutic area,url
Saxenda,liraglutide,2015-03-23,Authorised,Obesity  Overweight,index.jsp?curl=pages/medicines/human/medicines/003780/human_med_001855.jsp
Scenesse,afamelanotide,2014-12-22,Authorised,"Protoporphyria, Erythropoietic",index.jsp?curl=pages/medicines/human/medicines/002548/human_med_001826.jsp
Scintimun,besilesomab,2010-01-11,Authorised,Osteomyelitis  Radionuclide Imaging,index.jsp?curl=pages/medicines/human/medicines/001045/human_med_001232.jsp
Sebivo,telbivudine,2007-04-24,Authorised,"Hepatitis B, Chronic",index.jsp?curl=pages/medicines/human/medicines/000713/human_med_001048.jsp
Seebri Breezhaler,glycopyrronium bromide,2012-09-28,Authorised,"Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/002430/human_med_001580.jsp
Selincro,nalmefene hydrochloride dihydrate,2013-02-25,Authorised,Alcohol-Related Disorders,index.jsp?curl=pages/medicines/human/medicines/002583/human_med_001620.jsp
Senshio,ospemifene,2015-01-15,Authorised,Postmenopause,index.jsp?curl=pages/medicines/human/medicines/002780/human_med_001837.jsp
Sepioglin,pioglitazone hydrochloride,2012-03-09,Withdrawn,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/002021/human_med_001525.jsp
Sevelamer carbonate Zentiva,sevelamer carbonate,2015-01-15,Authorised,Hyperphosphatemia  Renal Dialysis,index.jsp?curl=pages/medicines/human/medicines/003971/human_med_001818.jsp
Sialanar,glycopyrronium bromide,2016-09-15,Authorised,Sialorrhea,index.jsp?curl=pages/medicines/human/medicines/003883/human_med_001992.jsp
Sifrol,pramipexole dihydrochloride monohydrate,1997-10-14,Authorised,Parkinson Disease  Restless Legs Syndrome,index.jsp?curl=pages/medicines/human/medicines/000133/human_med_001049.jsp
Signifor,pasireotide,2012-04-24,Authorised,Acromegaly  Pituitary ACTH Hypersecretion,index.jsp?curl=pages/medicines/human/medicines/002052/human_med_001547.jsp
Siklos,hydroxycarbamide,2007-06-29,Authorised,"Anemia, Sickle Cell",index.jsp?curl=pages/medicines/human/medicines/000689/human_med_001050.jsp
Silapo,epoetin zeta,2007-12-18,Authorised,"Anemia  Blood Transfusion, Autologous  Cancer  Kidney Failure, Chronic",index.jsp?curl=pages/medicines/human/medicines/000760/human_med_001051.jsp
Sildenafil Actavis,sildenafil,2009-12-10,Authorised,Erectile Dysfunction,index.jsp?curl=pages/medicines/human/medicines/001090/human_med_001213.jsp
Sildenafil ratiopharm,sildenafil,2009-12-23,Authorised,Erectile Dysfunction,index.jsp?curl=pages/medicines/human/medicines/001080/human_med_001231.jsp
Sildenafil Teva,sildenafil,2009-11-30,Authorised,Erectile Dysfunction,index.jsp?curl=pages/medicines/human/medicines/001073/human_med_001203.jsp
Silgard,human papillomavirus type 11 L1 protein / human papillomavirus type 16 L1 protein / human papillomavirus type 18 L1 protein / human papillomavirus type 6 L1 protein,2006-09-20,Authorised,Condylomata Acuminata  Immunization  Papillomavirus Infections  Uterine Cervical Dysplasia,index.jsp?curl=pages/medicines/human/medicines/000732/human_med_001052.jsp
Silodyx,silodosin,2010-01-29,Authorised,Prostatic Hyperplasia,index.jsp?curl=pages/medicines/human/medicines/001209/human_med_001333.jsp
Simbrinza,brinzolamide / brimonidine tartrate,2014-07-18,Authorised,"Glaucoma, Open-Angle  Ocular Hypertension",index.jsp?curl=pages/medicines/human/medicines/003698/human_med_001783.jsp
Simponi,golimumab,2009-10-01,Authorised,"Arthritis, Psoriatic  Arthritis, Rheumatoid  Colitis, Ulcerative  Spondylitis, Ankylosing",index.jsp?curl=pages/medicines/human/medicines/000992/human_med_001053.jsp
Simulect,basiliximab,1998-10-09,Authorised,Graft Rejection  Kidney Transplantation,index.jsp?curl=pages/medicines/human/medicines/000207/human_med_001054.jsp
Sirturo,bedaquiline fumarate,2014-03-05,Authorised,"Tuberculosis, Multidrug-Resistant",index.jsp?curl=pages/medicines/human/medicines/002614/human_med_001730.jsp
Sivextro,tedizolid phosphate,2015-03-23,Authorised,"Skin Diseases, Bacterial  Soft Tissue Infections",index.jsp?curl=pages/medicines/human/medicines/002846/human_med_001856.jsp
Soliris,eculizumab,2007-06-20,Authorised,"Hemoglobinuria, Paroxysmal",index.jsp?curl=pages/medicines/human/medicines/000791/human_med_001055.jsp
Solumarv,insulin human,2015-11-19,Refused,Diabetes Mellitus,index.jsp?curl=pages/medicines/human/medicines/003858/human_med_001942.jsp
Somac Control,pantoprazole,2009-06-12,Authorised,Gastroesophageal Reflux,index.jsp?curl=pages/medicines/human/medicines/001098/human_med_001056.jsp
Somatropin Biopartners,somatropin,2013-08-05,Authorised,Growth,index.jsp?curl=pages/medicines/human/medicines/002196/human_med_001672.jsp
Somavert,pegvisomant,2002-11-13,Authorised,Acromegaly,index.jsp?curl=pages/medicines/human/medicines/000409/human_med_001057.jsp
Sonata,zaleplon,1999-03-12,Withdrawn,Sleep Initiation and Maintenance Disorders,index.jsp?curl=pages/medicines/human/medicines/000227/human_med_001058.jsp
SonoVue,sulphur hexafluoride,2001-03-26,Authorised,Echocardiography  Ultrasonography,index.jsp?curl=pages/medicines/human/medicines/000303/human_med_001059.jsp
Sovaldi,sofosbuvir,2014-01-16,Authorised,"Hepatitis C, Chronic",index.jsp?curl=pages/medicines/human/medicines/002798/human_med_001723.jsp
Sovrima,idebenone,2009-04-27,Refused,Friedreich Ataxia,index.jsp?curl=pages/medicines/human/medicines/000908/human_med_001060.jsp
Spectrila,asparaginase,2016-01-14,Authorised,Precursor Cell Lymphoblastic Leukemia-Lymphoma,index.jsp?curl=pages/medicines/human/medicines/002661/human_med_001954.jsp
Spedra,avanafil,2013-06-21,Authorised,Erectile Dysfunction,index.jsp?curl=pages/medicines/human/medicines/002581/human_med_001661.jsp
Sprimeo,aliskiren,2007-08-22,Withdrawn,Hypertension,index.jsp?curl=pages/medicines/human/medicines/000851/human_med_001061.jsp
Sprimeo HCT,aliskiren / hydrochlorothiazide,2011-06-23,Withdrawn,Hypertension,index.jsp?curl=pages/medicines/human/medicines/002421/human_med_001446.jsp
Sprycel,dasatinib,2006-11-20,Authorised,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive  Precursor Cell Lymphoblastic Leukemia-Lymphoma",index.jsp?curl=pages/medicines/human/medicines/000709/human_med_001062.jsp
Stalevo,levodopa / carbidopa / entacapone,2003-10-17,Authorised,Parkinson Disease,index.jsp?curl=pages/medicines/human/medicines/000511/human_med_001063.jsp
Starlix,nateglinide,2001-04-03,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/000335/human_med_001064.jsp
Stayveer,bosentan monohydrate,2013-06-24,Authorised,"Hypertension, Pulmonary  Scleroderma, Systemic",index.jsp?curl=pages/medicines/human/medicines/002644/human_med_001653.jsp
Stelara,ustekinumab,2009-01-16,Authorised,"Arthritis, Psoriatic  Crohn Disease  Psoriasis",index.jsp?curl=pages/medicines/human/medicines/000958/human_med_001065.jsp
Stivarga,regorafenib,2013-08-26,Authorised,Colorectal Neoplasms,index.jsp?curl=pages/medicines/human/medicines/002573/human_med_001684.jsp
Stocrin,efavirenz,1999-05-28,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/000250/human_med_001066.jsp
Strensiq,asfotase alfa,2015-08-28,Authorised,Hypophosphatasia,index.jsp?curl=pages/medicines/human/medicines/003794/human_med_001901.jsp
Stribild,elvitegravir / cobicistat / emtricitabine / tenofovir disoproxil fumarate,2013-05-24,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/002574/human_med_001654.jsp
Strimvelis,autologous CD34+ enriched cell fraction that contains CD34+ cells transduced with retroviral vector that encodes for the human adenosine deaminase (ADA) cDNA sequence from human haematopoietic stem/progenitor (CD34+) cells,2016-05-26,Authorised,Severe Combined Immunodeficiency,index.jsp?curl=pages/medicines/human/medicines/003854/human_med_001985.jsp
Suboxone,buprenorphine / naloxone,2006-09-26,Authorised,Opioid-Related Disorders,index.jsp?curl=pages/medicines/human/medicines/000697/human_med_001067.jsp
Sumatriptan Galpharm,sumatriptan succinate,2012-02-09,Refused,Migraine Disorders,index.jsp?curl=pages/medicines/human/medicines/002140/human_med_001497.jsp
Sustiva,efavirenz,1999-05-28,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/000249/human_med_001068.jsp
Sutent,sunitinib,2006-07-19,Authorised,"Carcinoma, Renal Cell  Gastrointestinal Stromal Tumors  Neuroendocrine Tumors",index.jsp?curl=pages/medicines/human/medicines/000687/human_med_001069.jsp
Sycrest,asenapine maleate,2010-09-01,Authorised,Bipolar Disorder,index.jsp?curl=pages/medicines/human/medicines/001177/human_med_001379.jsp
Sylvant,siltuximab,2014-05-22,Authorised,Giant Lymph Node Hyperplasia,index.jsp?curl=pages/medicines/human/medicines/003708/human_med_001769.jsp
Synagis,palivizumab,1999-08-13,Authorised,Respiratory Syncytial Virus Infections,index.jsp?curl=pages/medicines/human/medicines/000257/human_med_001070.jsp
Synflorix,"pneumococcal polysaccharide serotype 1 / pneumococcal polysaccharide serotype 1, 4, 5, 6b, 7f, 9v, 14, 18c, 19f, 23f / pneumococcal polysaccharide serotype 14 / pneumococcal polysaccharide serotype 18c / pneumococcal polysaccharide serotype 19f / pneumococcal polysaccharide serotype 23f / pneumococcal polysaccharide serotype 4 / pneumococcal polysaccharide serotype 5 / pneumococcal polysaccharide serotype 6b / pneumococcal polysaccharide serotype 7f / pneumococcal polysaccharide serotype 9v",2009-03-30,Authorised,Immunization  Pneumococcal Infections,index.jsp?curl=pages/medicines/human/medicines/000973/human_med_001071.jsp
Synjardy,empagliflozin / metformin,2015-05-27,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/003770/human_med_001865.jsp
TachoSil,human fibrinogen / human thrombin,2004-06-08,Authorised,"Hemostasis, Surgical",index.jsp?curl=pages/medicines/human/medicines/000505/human_med_001072.jsp
Tadalafil Generics,tadalafil,2017-01-09,Authorised,"Hypertension, Pulmonary",index.jsp?curl=pages/medicines/human/medicines/004297/human_med_002059.jsp
Tadalafil Mylan,tadalafil,2014-11-21,Authorised,Erectile Dysfunction,index.jsp?curl=pages/medicines/human/medicines/003787/human_med_001820.jsp
Tafinlar,dabrafenib,2013-08-26,Authorised,Melanoma,index.jsp?curl=pages/medicines/human/medicines/002604/human_med_001683.jsp
Tagrisso,osimertinib mesylate,2016-02-02,Authorised,"Carcinoma, Non-Small-Cell Lung",index.jsp?curl=pages/medicines/human/medicines/004124/human_med_001961.jsp
Taltz,ixekizumab,2016-04-25,Authorised,Psoriasis,index.jsp?curl=pages/medicines/human/medicines/003943/human_med_001977.jsp
Taluvian,apomorphine hydrochloride,2001-05-28,Withdrawn,Erectile Dysfunction,index.jsp?curl=pages/medicines/human/medicines/000386/human_med_001074.jsp
Tamiflu,oseltamivir,2002-06-20,Authorised,"Influenza, Human",index.jsp?curl=pages/medicines/human/medicines/000402/human_med_001075.jsp
Tandemact,pioglitazone / glimepiride,2007-01-08,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/000680/human_med_001076.jsp
Tarceva,erlotinib,2005-09-19,Authorised,"Carcinoma, Non-Small-Cell Lung  Pancreatic Neoplasms",index.jsp?curl=pages/medicines/human/medicines/000618/human_med_001077.jsp
Targretin,bexarotene,2001-03-29,Authorised,"Lymphoma, T-Cell, Cutaneous",index.jsp?curl=pages/medicines/human/medicines/000326/human_med_001078.jsp
Tasermity,sevelamer hydrochloride,2015-02-26,Authorised,Hyperphosphatemia  Renal Dialysis,index.jsp?curl=pages/medicines/human/medicines/003968/human_med_001819.jsp
Tasigna,nilotinib,2007-11-19,Authorised,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",index.jsp?curl=pages/medicines/human/medicines/000798/human_med_001079.jsp
Tasmar,tolcapone,1997-08-27,Authorised,Parkinson Disease,index.jsp?curl=pages/medicines/human/medicines/000132/human_med_001080.jsp
Taxespira (previously Docetaxel Hospira UK Limited ),docetaxel trihydrate,2015-08-28,Authorised,"Breast Neoplasms  Carcinoma, Non-Small-Cell Lung  Head and Neck Neoplasms  Prostatic Neoplasms  Stomach Neoplasms",index.jsp?curl=pages/medicines/human/medicines/003925/human_med_001883.jsp
Taxotere,docetaxel,1995-11-27,Authorised,"Adenocarcinoma  Breast Neoplasms  Carcinoma, Non-Small-Cell Lung  Head and Neck Neoplasms  Prostatic Neoplasms  Stomach Neoplasms",index.jsp?curl=pages/medicines/human/medicines/000073/human_med_001081.jsp
Tecfidera,dimethyl fumarate,2014-01-30,Authorised,Multiple Sclerosis,index.jsp?curl=pages/medicines/human/medicines/002601/human_med_001657.jsp
Tecnemab K1,anti-melanoma mab fragments,1996-09-05,Withdrawn,Radioimmunodetection,index.jsp?curl=pages/medicines/human/medicines/000068/human_med_001082.jsp
Tekturna,aliskiren,2007-08-22,Withdrawn,Hypertension,index.jsp?curl=pages/medicines/human/medicines/000852/human_med_001083.jsp
Telmisartan Actavis,telmisartan,2010-09-30,Authorised,Hypertension,index.jsp?curl=pages/medicines/human/medicines/001168/human_med_001380.jsp
Telmisartan Teva,telmisartan,2010-01-26,Authorised,Hypertension,index.jsp?curl=pages/medicines/human/medicines/001146/human_med_001350.jsp
Telmisartan Teva Pharma,telmisartan,2011-10-03,Authorised,Hypertension,index.jsp?curl=pages/medicines/human/medicines/002511/human_med_001501.jsp
Telzir,fosamprenavir calcium,2004-07-12,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/000534/human_med_001084.jsp
Temodal,temozolomide,1999-01-26,Authorised,Glioblastoma  Glioma,index.jsp?curl=pages/medicines/human/medicines/000229/human_med_001085.jsp
Temomedac,temozolomide,2010-01-25,Authorised,Glioblastoma  Glioma,index.jsp?curl=pages/medicines/human/medicines/001124/human_med_001317.jsp
Temozolomide Accord,temozolomide,2010-03-15,Authorised,Glioblastoma  Glioma,index.jsp?curl=pages/medicines/human/medicines/001125/human_med_001228.jsp
Temozolomide Hexal,temozolomide,2010-03-15,Authorised,Glioblastoma  Glioma,index.jsp?curl=pages/medicines/human/medicines/001127/human_med_001223.jsp
Temozolomide Sandoz,temozolomide,2010-03-15,Authorised,Glioblastoma  Glioma,index.jsp?curl=pages/medicines/human/medicines/001128/human_med_001227.jsp
Temozolomide Sun,temozolomide,2011-07-13,Authorised,Glioblastoma  Glioma,index.jsp?curl=pages/medicines/human/medicines/002198/human_med_001470.jsp
Temozolomide Teva,temozolomide,2010-01-28,Authorised,Glioblastoma  Glioma,index.jsp?curl=pages/medicines/human/medicines/001126/human_med_001226.jsp
Tenecteplase Boehringer Ingelheim Pharma GmbH & Co. KG,tenecteplase,2001-02-23,Withdrawn,Myocardial Infarction,index.jsp?curl=pages/medicines/human/medicines/000307/human_med_001086.jsp
Tenofovir disoproxil Mylan,tenofovir disoproxil,,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/004049/human_med_002048.jsp
Tepadina,thiotepa,2010-03-15,Authorised,Hematopoietic Stem Cell Transplantation,index.jsp?curl=pages/medicines/human/medicines/001046/human_med_001229.jsp
Tesavel,sitagliptin,2008-01-10,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/000910/human_med_001087.jsp
Teslascan,mangafodipir trisodium,1997-05-22,Withdrawn,Magnetic Resonance Imaging,index.jsp?curl=pages/medicines/human/medicines/000137/human_med_001088.jsp
Tevagrastim,filgrastim,2008-09-15,Authorised,Cancer  Hematopoietic Stem Cell Transplantation  Neutropenia,index.jsp?curl=pages/medicines/human/medicines/000827/human_med_001089.jsp
Teysuno,tegafur / gimeracil / oteracil,2011-03-14,Authorised,Stomach Neoplasms,index.jsp?curl=pages/medicines/human/medicines/001242/human_med_001422.jsp
Thalidomide Celgene (previously Thalidomide Pharmion),thalidomide,2008-04-16,Authorised,Multiple Myeloma,index.jsp?curl=pages/medicines/human/medicines/000823/human_med_001090.jsp
Thelin,sitaxentan sodium,2006-08-10,Withdrawn,"Hypertension, Pulmonary",index.jsp?curl=pages/medicines/human/medicines/000679/human_med_001091.jsp
Theryttrex,yttrium [90Y] chloride,2003-01-07,Withdrawn,Radionuclide Imaging,index.jsp?curl=pages/medicines/human/medicines/000445/human_med_001092.jsp
Thorinane,enoxaparin sodium,2016-09-15,Authorised,Venous Thromboembolism,index.jsp?curl=pages/medicines/human/medicines/003795/human_med_002024.jsp
Thymanax,agomelatine,2007-01-16,Refused,"Depressive Disorder, Major",index.jsp?curl=pages/medicines/human/medicines/000916/human_med_001093.jsp
Thymanax,agomelatine,2009-02-19,Authorised,"Depressive Disorder, Major",index.jsp?curl=pages/medicines/human/medicines/000916/human_med_001093.jsp
Thyrogen,thyrotropin alfa,2000-03-09,Authorised,Thyroid Neoplasms,index.jsp?curl=pages/medicines/human/medicines/000220/human_med_001094.jsp
Tikosyn,dofetilide,1999-11-29,Withdrawn,Atrial Fibrillation  Atrial Flutter,index.jsp?curl=pages/medicines/human/medicines/000238/human_med_001095.jsp
Tivicay,dolutegravir,2014-01-16,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/002753/human_med_001720.jsp
Tobi Podhaler,tobramycin,2011-07-20,Authorised,Cystic Fibrosis  Respiratory Tract Infections,index.jsp?curl=pages/medicines/human/medicines/002155/human_med_001401.jsp
Tolucombi,telmisartan / hydrochlorothiazide,2013-03-13,Authorised,Hypertension,index.jsp?curl=pages/medicines/human/medicines/002549/human_med_001634.jsp
Tolura,telmisartan,2010-06-04,Authorised,Hypertension,index.jsp?curl=pages/medicines/human/medicines/001196/human_med_001347.jsp
Topotecan Actavis,topotecan,2009-07-24,Authorised,Small Cell Lung Carcinoma  Uterine Cervical Neoplasms,index.jsp?curl=pages/medicines/human/medicines/001031/human_med_001096.jsp
Topotecan Eagle,topotecan hydrochloride,2011-12-22,Withdrawn,Carcinoma  Small Cell Lung Carcinoma,index.jsp?curl=pages/medicines/human/medicines/002261/human_med_001532.jsp
Topotecan Hospira,topotecan,2010-06-10,Authorised,Small Cell Lung Carcinoma  Uterine Cervical Neoplasms,index.jsp?curl=pages/medicines/human/medicines/001192/human_med_001348.jsp
Topotecan Teva,topotecan,2009-09-21,Authorised,Ovarian Neoplasms  Small Cell Lung Carcinoma  Uterine Cervical Neoplasms,index.jsp?curl=pages/medicines/human/medicines/001071/human_med_001097.jsp
Torisel,temsirolimus,2007-11-19,Authorised,"Carcinoma, Renal Cell  Lymphoma, Mantle-Cell",index.jsp?curl=pages/medicines/human/medicines/000799/human_med_001098.jsp
Toujeo (previously Optisulin),insulin glargine,2000-06-27,Authorised,Diabetes Mellitus,index.jsp?curl=pages/medicines/human/medicines/000309/human_med_000955.jsp
Tovanor Breezhaler,glycopyrronium bromide,2012-09-28,Authorised,"Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/002690/human_med_001581.jsp
Toviaz,fesoterodine fumarate,2007-04-20,Authorised,"Urinary Bladder, Overactive",index.jsp?curl=pages/medicines/human/medicines/000723/human_med_001099.jsp
Tracleer,bosentan monohydrate,2002-05-15,Authorised,"Hypertension, Pulmonary  Scleroderma, Systemic",index.jsp?curl=pages/medicines/human/medicines/000401/human_med_001100.jsp
Tractocile,atosiban acetate,2000-01-20,Authorised,Premature Birth,index.jsp?curl=pages/medicines/human/medicines/000253/human_med_001101.jsp
Trajenta,linagliptin,2011-08-24,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/002110/human_med_001482.jsp
Translarna,ataluren,2014-07-31,Authorised,"Muscular Dystrophy, Duchenne",index.jsp?curl=pages/medicines/human/medicines/002720/human_med_001742.jsp
Travatan,travoprost,2001-11-27,Authorised,"Glaucoma, Open-Angle  Ocular Hypertension",index.jsp?curl=pages/medicines/human/medicines/000390/human_med_001102.jsp
Trazec,nateglinide,2001-04-03,Withdrawn,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/000383/human_med_001103.jsp
Tredaptive,laropiprant / nicotinic acid,2008-07-03,Withdrawn,Dyslipidemias,index.jsp?curl=pages/medicines/human/medicines/000889/human_med_001104.jsp
Tresiba,insulin degludec,2013-01-21,Authorised,Diabetes Mellitus,index.jsp?curl=pages/medicines/human/medicines/002498/human_med_001609.jsp
Trevaclyn,laropiprant / nicotinic acid,2008-07-03,Withdrawn,Dyslipidemias,index.jsp?curl=pages/medicines/human/medicines/000897/human_med_001105.jsp
Trevicta (previously Paliperidone Janssen),paliperidone palmitate,2014-12-05,Authorised,Schizophrenia,index.jsp?curl=pages/medicines/human/medicines/004066/human_med_001829.jsp
Triacelluvax,"diphtheria toxoid, haemagglutinin filamentous, adsorbed, pertactin, pertussis toxin, tetanus toxoid",1999-01-11,Withdrawn,Diphtheria  Immunization  Tetanus  Whooping Cough,index.jsp?curl=pages/medicines/human/medicines/000181/human_med_001106.jsp
Trisenox,arsenic trioxide,2002-03-05,Authorised,"Leukemia, Promyelocytic, Acute",index.jsp?curl=pages/medicines/human/medicines/000388/human_med_001107.jsp
Tritanrix HepB,diphtheria toxoid / hepatitis B recombinant surface antigen / Bordetella pertussis (inactivated) / tetanus toxoid,1996-07-19,Withdrawn,Diphtheria  Hepatitis B  Immunization  Tetanus  Whooping Cough,index.jsp?curl=pages/medicines/human/medicines/000093/human_med_001108.jsp
Triumeq,abacavir sulfate / dolutegravir sodium / lamivudine,2014-09-01,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/002754/human_med_001796.jsp
Trizivir,abacavir (as sulfate) / lamivudine / zidovudine,2000-12-28,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/000338/human_med_001109.jsp
Trobalt,retigabine,2011-03-28,Authorised,Epilepsy,index.jsp?curl=pages/medicines/human/medicines/001245/human_med_001431.jsp
Trovan,trovafloxacin,1998-07-03,Withdrawn,Bacterial Infections,index.jsp?curl=pages/medicines/human/medicines/000160/human_med_001110.jsp
Trovan IV,alatrofloxacin mesylate,1998-07-03,Withdrawn,Bacterial Infections,index.jsp?curl=pages/medicines/human/medicines/000161/human_med_001111.jsp
Truberzi,eluxadoline,2016-09-19,Authorised,Diarrhea  Irritable Bowel Syndrome,index.jsp?curl=pages/medicines/human/medicines/004098/human_med_002025.jsp
Trudexa,adalimumab,2003-09-01,Withdrawn,"Arthritis, Psoriatic  Arthritis, Rheumatoid  Crohn Disease  Spondylitis, Ankylosing",index.jsp?curl=pages/medicines/human/medicines/000482/human_med_001112.jsp
Trulicity,dulaglutide,2014-11-21,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/002825/human_med_001821.jsp
Truvada,emtricitabine / tenofovir disoproxil fumarate,2005-02-21,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/000594/human_med_001113.jsp
Turvel,trovafloxacin,1998-07-08,Withdrawn,Bacterial Infections,index.jsp?curl=pages/medicines/human/medicines/000158/human_med_001114.jsp
Turvel IV,alatrofloxacin mesylate,1998-07-03,Withdrawn,Bacterial Infections,index.jsp?curl=pages/medicines/human/medicines/000159/human_med_001115.jsp
Twinrix Adult,hepatitis A virus (inactivated) / hepatitis B surface antigen,1996-09-20,Authorised,Hepatitis A  Hepatitis B  Immunization,index.jsp?curl=pages/medicines/human/medicines/000112/human_med_001116.jsp
Twinrix Paediatric,hepatitis-A virus (inactivated) / hepatitis-B surface antigen,1997-02-10,Authorised,Hepatitis A  Hepatitis B  Immunization,index.jsp?curl=pages/medicines/human/medicines/000129/human_med_001117.jsp
Twynsta,telmisartan / amlodipine,2010-10-07,Authorised,Hypertension,index.jsp?curl=pages/medicines/human/medicines/001224/human_med_001393.jsp
Tybost,cobicistat on silicon dioxide,2013-09-19,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/002572/human_med_001690.jsp
Tygacil,tigecycline,2006-04-24,Authorised,"Bacterial Infections  Skin Diseases, Bacterial  Soft Tissue Infections",index.jsp?curl=pages/medicines/human/medicines/000644/human_med_001118.jsp
Tysabri,natalizumab,2006-06-27,Authorised,Multiple Sclerosis,index.jsp?curl=pages/medicines/human/medicines/000603/human_med_001119.jsp
Tyverb,lapatinib,2008-06-10,Authorised,Breast Neoplasms,index.jsp?curl=pages/medicines/human/medicines/000795/human_med_001120.jsp
Ultibro Breezhaler,indacaterol / glycopyrronium bromide,2013-09-19,Authorised,"Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/002679/human_med_001691.jsp
Ultratard,insulin human,2002-10-07,Withdrawn,Diabetes Mellitus,index.jsp?curl=pages/medicines/human/medicines/000439/human_med_001121.jsp
Ulunar Breezhaler,glycopyrronium bromide / indacaterol maleate,2014-04-23,Authorised,"Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/003875/human_med_001758.jsp
Unituxin,dinutuximab,2015-08-14,Authorised,Neuroblastoma,index.jsp?curl=pages/medicines/human/medicines/002800/human_med_001891.jsp
Uprima,apomorphine hydrochloride,2001-05-28,Withdrawn,Erectile Dysfunction,index.jsp?curl=pages/medicines/human/medicines/000327/human_med_001122.jsp
Uptravi,selexipag,2016-05-12,Authorised,"Hypertension, Pulmonary",index.jsp?curl=pages/medicines/human/medicines/003774/human_med_001970.jsp
Urorec,silodosin,2010-01-29,Authorised,Prostatic Hyperplasia,index.jsp?curl=pages/medicines/human/medicines/001092/human_med_001332.jsp
Valdoxan,agomelatine,2007-01-16,Refused,"Depressive Disorder, Major",index.jsp?curl=pages/medicines/human/medicines/000915/human_med_001123.jsp
Valdoxan,agomelatine,2009-02-19,Authorised,"Depressive Disorder, Major",index.jsp?curl=pages/medicines/human/medicines/000915/human_med_001123.jsp
Valdyn,valdecoxib,2003-03-27,Withdrawn,"Arthritis, Rheumatoid  Dysmenorrhea  Osteoarthritis",index.jsp?curl=pages/medicines/human/medicines/000432/human_med_001534.jsp
Valdyn (previously Kudeq),valdecoxib,2003-03-27,Withdrawn,"Arthritis, Rheumatoid  Dysmenorrhea  Osteoarthritis",index.jsp?curl=pages/medicines/human/medicines/000437/human_med_001124.jsp
Valtropin,somatropin,2006-04-24,Withdrawn,"Dwarfism, Pituitary  Turner Syndrome",index.jsp?curl=pages/medicines/human/medicines/000602/human_med_001125.jsp
Vaniqa,eflornithine,2001-03-20,Authorised,Hirsutism,index.jsp?curl=pages/medicines/human/medicines/000325/human_med_001126.jsp
"Vantavo (previously Alendronate sodium and colecalciferol, MSD)",alendronic acid / colecalciferol,2009-10-16,Authorised,"Osteoporosis, Postmenopausal",index.jsp?curl=pages/medicines/human/medicines/001180/human_med_000637.jsp
Vantobra,tobramycin,2015-03-18,Authorised,Cystic Fibrosis  Respiratory Tract Infections,index.jsp?curl=pages/medicines/human/medicines/002633/human_med_001773.jsp
Vargatef,nintedanib,2014-11-21,Authorised,"Carcinoma, Non-Small-Cell Lung",index.jsp?curl=pages/medicines/human/medicines/002569/human_med_001822.jsp
Vaxelis,"Diphtheria toxoid / tetanus toxoid / Bordetella pertussis antigens: pertussis toxoid, filamentous haemagglutinin, pertactin, fimbriae Types 2 and 3 / hepatitis B surface antigen produced in yeast cells / poliovirus (inactivated): type 1 (Mahoney), type 2 (MEF-1), type 3 (Saukett) produced in Vero cells/ Haemophilus influenzae type b polysaccharide (polyribosylribitol phosphate) conjugated to meningococcal protein.",2016-02-15,Authorised,"Diphtheria  Hepatitis B  Meningitis, Haemophilus  Poliomyelitis  Tetanus  Whooping Cough",index.jsp?curl=pages/medicines/human/medicines/003982/human_med_001962.jsp
Vectibix,panitumumab,2007-12-03,Authorised,Colorectal Neoplasms,index.jsp?curl=pages/medicines/human/medicines/000741/human_med_001128.jsp
