,Name,Active substance,Date of authorisation / refusal,Status,Therapeutic area,url,atc,emea,indication,wdid,wdid_mix,rxcui,rxcui_mix,rxcui_combo
798,Ratiograstim,filgrastim,2008-09-15,Authorised,Cancer  Hematopoietic Stem Cell Transplantation  Neutropenia,index.jsp?curl=pages/medicines/human/medicines/000825/human_med_001015.jsp,L03AA02,EMEA/H/C/000825,"Ratiograstim is indicated for the reduction in the duration of neutropenia and the incidence of febrile neutropenia in patients treated with established cytotoxic chemotherapy for malignancy (with the exception of chronic myeloid leukaemia and myelodysplastic syndromes) and for the reduction in the duration of neutropenia in patients undergoing myeloablative therapy followed by bone-marrow transplantation considered to be at increased risk of prolonged severe neutropenia. The safety and efficacy of filgrastim are similar in adults and children receiving cytotoxic chemotherapy.
Ratiograstim is indicated for the mobilisation of peripheral blood progenitor cells (PBPC).
In patients, children or adults, with severe congenital, cyclic, or idiopathic neutropenia with an absolute neutrophil count (ANC) of  0.5 x 109/l, and a history of severe or recurrent infections, long term administration of Ratiograstim is indicated to increase neutrophil counts and to reduce the incidence and duration of infection-related events.
Ratiograstim is indicated for the treatment of persistent neutropenia (ANC  1.0 x 109/l) in patients with advanced HIV infection, in order to reduce the risk of bacterial infections when other options to manage neutropenia are inappropriate.",Q3151081,,,,
799,Ravicti,glycerol phenylbutyrate,2015-11-27,Authorised,"Urea Cycle Disorders, Inborn",index.jsp?curl=pages/medicines/human/medicines/003822/human_med_001939.jsp,A16AX09,EMEA/H/C/003822,"Ravicti is indicated for use as adjunctive therapy for chronic management of adult and paediatric patients 2 months of age with urea cycle disorders (UCDs) including deficiencies of carbamoyl phosphate-synthase-I (CPS), ornithine carbamoyltransferase (OTC), argininosuccinate synthetase (ASS), argininosuccinate lyase (ASL), arginase I (ARG) and ornithine translocase deficiency hyperornithinaemia-hyperammonaemia homocitrullinuria syndrome (HHH) who cannot be managed by dietary protein restriction and/or amino acid supplementation alone.Ravictimust be used with dietary protein restriction and, in some cases, dietary supplements (e.g., essential amino acids, arginine, citrulline, protein-free calorie supplements).",Q15322709,,1368451,,
800,Raxone,idebenone,2015-09-08,Authorised,"Optic Atrophy, Hereditary, Leber",index.jsp?curl=pages/medicines/human/medicines/003834/human_med_001900.jsp,N07,EMEA/H/C/003834,Raxone is indicated for the treatment of visual impairment in adolescent and adult patients with Lebers Hereditary Optic Neuropathy (LHON).,Q4197874,,51296,,
801,Rayzon,parecoxib,2002-03-22,Withdrawn,"Pain, Postoperative",index.jsp?curl=pages/medicines/human/medicines/000382/human_med_001016.jsp,M01AH04,EMEA/H/C/000382,"For the short-term treatment of postoperative pain.The decision to prescribe a selective COX-2 inhibitor should be based on an assessment of theindividual patient's overall risks (see sections 4.3, 4.4).",Q347941,,279950,,
802,Reasanz,serelaxin,2014-08-05,Refused,Heart Failure,index.jsp?curl=pages/medicines/human/medicines/002817/human_med_001741.jsp,C01,EMEA/H/C/002817,Treatment of acute heart failure,Q7453086,,,,
803,Rebetol,ribavirin,1999-05-07,Authorised,"Hepatitis C, Chronic",index.jsp?curl=pages/medicines/human/medicines/000246/human_med_001017.jsp,J05AB04,EMEA/H/C/000246,"Rebetol is indicated in combination with other medicinal products for the treatment of chronic hepatitis C (CHC) in adults.
Rebetol is indicated in combination with other medicinal products for the treatment of chronic hepatitis C (CHC) for paediatric patients (children 3 years of age and older and adolescents) not previously treated and without liver decompensation.",Q421862,,9344,,
804,Rebif,interferon beta-1a,1998-05-04,Authorised,Multiple Sclerosis,index.jsp?curl=pages/medicines/human/medicines/000136/human_med_001018.jsp,L03AB07,EMEA/H/C/000136,"Rebif is indicated for the treatment of:

patients with a single demyelinating event with an active inflammatory process, if alternative diagnoses have been excluded, and if they are determined to be at high risk of developing clinically definite multiple sclerosis;
patients with relapsing multiple sclerosis. Inclinical trials, this was characterised by twoor more acute exacerbations in theprevious two years.

Efficacy has not been demonstrated in patients with secondary progressive multiple sclerosis without ongoing relapse activity.",Q2450337,,,,
805,ReFacto AF,moroctocog alfa,1999-04-13,Authorised,Hemophilia A,index.jsp?curl=pages/medicines/human/medicines/000232/human_med_001019.jsp,B02BD02,EMEA/H/C/000232,"Treatment and prophylaxis of bleeding in patients with haemophilia A (congenital factor-VIII deficiency).
ReFacto AF is appropriate for use in adults and children of all ages, including newborns.
ReFacto AF does not contain von-Willebrand factor, and hence is not indicated in von-Willebrand's disease.",,,,,
806,Refludan,lepirudin,1997-03-13,Withdrawn,Thrombocytopenia  Thromboembolism,index.jsp?curl=pages/medicines/human/medicines/000122/human_med_001020.jsp,B01AE02,EMEA/H/C/000122,"Anticoagulation in adult patients with heparin-induced thrombocytopeniatype II and thromboembolic disease mandating parenteral antithrombotic therapy.
The diagnosis should be confirmed by theheparin-induced platelet activation assay or an equivalent test.",Q3271949,,,,
807,Regranex,becaplermin,1999-03-29,Withdrawn,Skin Ulcer  Wound Healing,index.jsp?curl=pages/medicines/human/medicines/000212/human_med_001021.jsp,D03AX06,EMEA/H/C/000212,"Regranex is indicated, in association with other good wound care measures, to promote granulation and thereby the healing of full-thickness, neuropathic, chronic, diabetic ulcers less than or equal to 5 cm2.",Q2313188,,,,
808,Rekovelle,follitropin delta,2016-12-12,Authorised,Anovulation,index.jsp?curl=pages/medicines/human/medicines/003994/human_med_002044.jsp,G03GA,EMEA/H/C/003994,Controlled ovarian stimulation for the development of multiple follicles in women undergoing assisted reproductive technologies (ART) such as an in vitro fertilisation (IVF) or intracytoplasmic sperm injection (ICSI) cycle.,,,,,
809,Relistor,methylnaltrexone bromide,2008-07-02,Authorised,Constipation  Opioid-Related Disorders,index.jsp?curl=pages/medicines/human/medicines/000870/human_med_001022.jsp,A06AH01,EMEA/H/C/000870,Treatment of opioid-induced constipation in advanced-illness patients who are receiving palliative care when response to usual laxative therapy has not been sufficient.,Q27288096,,979111,,
810,Relvar Ellipta,fluticasone furoate / vilanterol,2013-11-13,Authorised,"Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/002673/human_med_001708.jsp,R03AK10,EMEA/H/C/002673,"Asthma Indication:
Relvar Ellipta is indicated in the regular treatment of asthma in adults and adolescents aged 12 years and older, where use of a combination product (long-acting beta2-agonist and inhaled corticosteroid) is appropriate:

patients not adequately controlled with inhaled corticosteroids and as needed inhaled short acting beta2-agonists.

COPD Indication:
Relvar Ellipta is indicated for the symptomatic treatment of adults with COPD with a FEV1 70% predicted normal (post-bronchodilator) in patients with an exacerbation history despite bronchodilator therapy.",,"['Q2166700', 'Q15053666']",,"['705022', '1424884']",
811,Remicade,infliximab,1999-08-13,Authorised,"Arthritis, Psoriatic  Arthritis, Rheumatoid  Colitis, Ulcerative  Crohn Disease  Psoriasis  Spondylitis, Ankylosing",index.jsp?curl=pages/medicines/human/medicines/000240/human_med_001023.jsp,L04AB02,EMEA/H/C/000240,"Rheumatoid arthritis
Remicade, in combination with methotrexate, is indicated for the reduction of signs and symptoms as well as the improvement in physical function in:

adult patients with active disease when the response to disease-modifying antirheumatic drugs (DMARDs), including methotrexate, has been inadequate;
adult patients with severe, active and progressive disease not previously treated with methotrexate or other DMARDs.

In these patient populations, a reduction in the rate of the progression of joint damage, as measured by X-ray, has been demonstrated.
Adult Crohn's disease
Remicade is indicated for:

treatment of moderately to severely active Crohn's disease, in adult patients who have not responded despite a full and adequate course of therapy with a corticosteroid and / or an immunosuppressant; or who are intolerant to or have medical contraindications for such therapies;
treatment of fistulising, active Crohn's disease, in adult patients who have not responded despite a full and adequate course of therapy with conventional treatment (including antibiotics, drainage and immunosuppressive therapy).

Paediatric Crohn's disease
Remicade is indicated for treatment of severe, active Crohn's disease, in children and adolescents agedsix to 17 years, who have not responded to conventional therapy including a corticosteroid, an immunomodulator and primary nutrition therapy; or who are intolerant to or have contraindications for such therapies. Remicade has been studied only in combination with conventional immunosuppressive therapy.
Ulcerative colitis
Remicade is indicated for treatment of moderately to severely active ulcerative colitis in adult patients who have had an inadequate response to conventional therapy including corticosteroids and 6-mercaptopurine (6-MP) or azathioprine (AZA), or who are intolerant to or have medical contraindications for such therapies.
Paediatric ulcerative colitis
Remicade is indicated for treatment of severely active ulcerative colitis, in paediatric patients agedsix to 17 years, who have had an inadequate response to conventional therapy including corticosteroids and 6-MP or AZA, or who are intolerant to or have medical contraindications for such therapies.
Ankylosing spondylitis
Remicade is indicated for treatment of severe, active ankylosing spondylitis, in adult patients who have responded inadequately to conventional therapy.
Psoriatic arthritis
Remicade is indicated for treatment of active and progressive psoriatic arthritis in adult patients when the response to previous DMARD therapy has been inadequate.
Remicade should be administered:

in combination with methotrexate;
or alone in patients who show intolerance to methotrexate or for whom methotrexate is contraindicated.

Remicade has been shown to improve physical function in patients with psoriatic arthritis, and to reduce the rate of progression of peripheral joint damage as measured by X-ray in patients with polyarticular symmetrical subtypes of the disease.
Psoriasis
Remicade is indicated for treatment of moderate to severe plaque psoriasis in adult patients who failed to respond to, or who have a contraindication to, or are intolerant to other systemic therapy including cyclosporine, methotrexate or psoralen ultraviolet A (PUVA).",Q415264,,,,
812,Removab,catumaxomab,2009-04-20,Authorised,Ascites  Cancer,index.jsp?curl=pages/medicines/human/medicines/000972/human_med_001024.jsp,L01XC09,EMEA/H/C/000972,Removab is indicated for the intraperitoneal treatment of malignant ascites in patients with EpCAM-positive carcinomas where standard therapy is not available or no longer feasible.,Q408155,,,,
813,Remsima,infliximab,2013-09-10,Authorised,"Arthritis, Psoriatic  Arthritis, Rheumatoid  Colitis, Ulcerative  Crohn Disease  Psoriasis  Spondylitis, Ankylosing",index.jsp?curl=pages/medicines/human/medicines/002576/human_med_001682.jsp,L04AB02,EMEA/H/C/002576,"Rheumatoid arthritis
Remsima, in combination with methotrexate, is indicated for the reduction of signs and symptoms as well as the improvement in physical function in:

adult patients with active disease when the response to diseasemodifying antirheumatic drugs (DMARDs), including methotrexate, has been inadequate;
adult patients with severe, active and progressive disease not previously treated with methotrexate or other DMARDs.

In these patient populations, a reduction in the rate of the progression of joint damage, as measured by Xray, has been demonstrated.
Adult Crohns disease
Remsimais indicated for:

treatment of moderately to severely active Crohns disease, in adult patients who have not responded despite a full and adequate course of therapy with a corticosteroid and / or an immunosuppressant or who are intolerant to or have medical contraindications for such therapies;
treatment of fistulising, active Crohns disease, in adult patients who have not responded despite a full and adequate course of therapy with conventional treatment (including antibiotics, drainage and immunosuppressive therapy).

Paediatric Crohns disease
Remsimais indicated for treatment of severe, active Crohns disease in children and adolescents agedsix to 17years, who have not responded to conventional therapy including a corticosteroid, an immunomodulator and primary nutrition therapy; or who are intolerant to or have contraindications for such therapies. Infliximab has been studied only in combination with conventional immunosuppressive therapy.
Ulcerative colitis
Remsimais indicated for treatment of moderately to severely active ulcerative colitis in adult patients who have had an inadequate response to conventional therapy including corticosteroids and 6mercaptopurine (6MP) or azathioprine (AZA), or who are intolerant to or have medical contraindications for such therapies.
Paediatric ulcerative colitis
Remsimais indicated for treatment of severely active ulcerative colitis in children and adolescents agedsix to 17years, who have had an inadequate response to conventional therapy including corticosteroids and 6MP or AZA, or who are intolerant to or have medical contraindications for such therapies.
Ankylosing spondylitis
Remsimais indicated for treatment of severe, active ankylosing spondylitis, in adult patients who have responded inadequately to conventional therapy.
Psoriatic arthritis
Remsimais indicated for treatment of active and progressive psoriatic arthritis in adult patients when the response to previous DMARD therapy has been inadequate.
Remsima should be administered:

in combination with methotrexate;
or alone in patients who show intolerance to methotrexate or for whom methotrexate is contraindicated.

Infliximab has been shown to improve physical function in patients with psoriatic arthritis, and to reduce the rate of progression of peripheral joint damage as measured by Xray in patients with polyarticular symmetrical subtypes of the disease.
Psoriasis
Remsimais indicated for treatment of moderate to severe plaque psoriasis in adult patients who failed to respond to, or who have a contraindication to, or are intolerant to other systemic therapy including cyclosporine, methotrexate or psoralen ultra-violet A (PUVA).",Q415264,,,,
814,Renagel,sevelamer,2000-01-28,Authorised,Hyperphosphatemia  Renal Dialysis,index.jsp?curl=pages/medicines/human/medicines/000254/human_med_001025.jsp,V03AE02,EMEA/H/C/000254,"Renagel is indicated for the control of hyperphosphataemia in adult patients receiving haemodialysis or peritoneal dialysis.
Renagel should be used within the context of a multiple therapeutic approach, which could include calcium supplements, 1,25-dihydroxy vitamin D3 or one of its analogues to control the development of renal bone disease.",Q904153,,,,
815,Renvela,sevelamer carbonate,2009-06-10,Authorised,Hyperphosphatemia  Renal Dialysis,index.jsp?curl=pages/medicines/human/medicines/000993/human_med_001026.jsp,V03AE02,EMEA/H/C/000993,"Renvela is indicated for the control of hyperphosphataemia in adult patients receiving haemodialysis or peritoneal dialysis.
Renvela is also indicated for the control of hyperphosphataemia in adult patients with chronic kidney disease not on dialysis with serum phosphorus  1.78 mmol/l.
Renvela should be used within the context of a multiple therapeutic approach, which could include calcium supplement, 1,25-dihydroxy vitamin D3 or one of its analogues to control the development of renal bone disease.",Q904153,,,,
816,Repaglinide Accord,repaglinide,2011-12-22,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/002318/human_med_001533.jsp,A10BX02,EMEA/H/C/002318,"Repaglinide is indicated in patients with type-2 diabetes (non-insulin-dependent diabetes mellitus (NIDDM)) whose hyperglycaemia can no longer be controlled satisfactorily by diet, weight reduction and exercise.
Treatment should be initiated as an adjunct to diet and exercise to lower the blood glucose in relation to meals.",Q2195995,,73044,,
817,Repaglinide Krka,repaglinide,2009-11-04,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/001066/human_med_001027.jsp,A10BX02,EMEA/H/C/001066,"Repaglinide is indicated in patients with type-2 diabetes (non-insulin-dependent diabetes mellitus (NIDDM)) whose hyperglycaemia can no longer be controlled satisfactorily by diet, weight reduction and exercise.
Treatment should be initiated as an adjunct to diet and exercise to lower the blood glucose in relation to meals.",Q2195995,,73044,,
818,Repaglinide Teva,repaglinide,2009-06-29,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/001067/human_med_001028.jsp,A10BX02,EMEA/H/C/001067,"Repaglinide is indicated in patients with type-2 diabetes (non-insulin-dependent diabetes mellitus (NIDDM)) whose hyperglycaemia can no longer be controlled satisfactorily by diet, weight reduction and exercise. Repaglinide is also indicated in combination with metformin in type-2-diabetes patients who are not satisfactorily controlled on metformin alone.
Treatment should be initiated as an adjunct to diet and exercise to lower the blood glucose in relation to meals.",Q2195995,,73044,,
819,Repatha,evolocumab,2015-07-17,Authorised,Dyslipidemias  Hypercholesterolemia,index.jsp?curl=pages/medicines/human/medicines/003766/human_med_001890.jsp,C10,EMEA/H/C/003766,"Hypercholesterolaemia and mixed dyslipidaemiaRepatha is indicated in adults with primary hypercholesterolaemia (heterozygous familial and non-familial) or mixed dyslipidaemia, as an adjunct to diet:

in combination with a statin or statin with other lipid lowering therapies in patients unable to reach LDL-C goals with the maximum tolerated dose of a statin or,
alone or in combination with other lipid-lowering therapies in patients who are statin-intolerant, or for whom a statin is contraindicated.

Homozygous familial hypercholesterolaemiaRepatha is indicated in adults and adolescents aged 12 years and over with homozygous familial hypercholesterolaemia in combination with other lipid-lowering therapies.
The effect of Repatha on cardiovascular morbidity and mortality has not yet been determined.",Q15623825,,,,
820,Replagal,agalsidase alfa,2001-08-03,Authorised,Fabry Disease,index.jsp?curl=pages/medicines/human/medicines/000369/human_med_001029.jsp,A16AB03,EMEA/H/C/000369,Replagal is indicated for long-term enzyme-replacement therapy in patients with a confirmed diagnosis of Fabry disease (-galactosidase-A deficiency).,Q20801779,,,,
821,Repso,leflunomide,2011-03-14,Authorised,"Arthritis, Psoriatic  Arthritis, Rheumatoid",index.jsp?curl=pages/medicines/human/medicines/001222/human_med_001420.jsp,L04AA13,EMEA/H/C/001222,"Leflunomide is indicated for the treatment of adult patients with:

active rheumatoid arthritis as a disease-modifying antirheumatic drug (DMARD);
active psoriatic arthritis.

Recent or concurrent treatment with hepatotoxic or haematotoxic DMARDs (e.g. methotrexate) may result in an increased risk of serious adverse reactions; therefore, the initiation of leflunomide treatment has to be carefully considered regarding these benefit / risk aspects.
Moreover, switching from leflunomide to another DMARD without following the washout procedure may also increase the risk of serious adverse reactions even for a long time after the switching.",Q248550,,27169,,
822,Resolor,prucalopride succinate,2009-10-15,Authorised,Constipation,index.jsp?curl=pages/medicines/human/medicines/001012/human_med_001030.jsp,A06AX05,EMEA/H/C/001012,Resolor is indicated for symptomatic treatment of chronic constipation in adults in whom laxatives fail to provide adequate relief.,Q68484,,,,
823,Respreeza,human alpha1-proteinase inhibitor,2015-08-20,Authorised,"Genetic Diseases, Inborn  Lung Diseases",index.jsp?curl=pages/medicines/human/medicines/002739/human_med_001904.jsp,B02AB02,EMEA/H/C/002739,"Respreeza is indicated for maintenance treatment, to slow the progression of emphysema in adults with documented severe alpha1-proteinase inhibitor deficiency (e.g. genotypes PiZZ, PiZ(null), Pi(null,null), PiSZ). Patients are to be under optimal pharmacologic and non-pharmacologic treatment and show evidence of progressive lung disease (e.g. lower forced expiratory volume per second (FEV1) predicted, impaired walking capacity or increased number of exacerbations) as evaluated by a healthcare professional experienced in the treatment of alpha1-proteinase inhibitor deficiency.",,,,,
824,Retacrit,epoetin zeta,2007-12-18,Authorised,"Anemia  Blood Transfusion, Autologous  Cancer  Kidney Failure, Chronic",index.jsp?curl=pages/medicines/human/medicines/000872/human_med_001031.jsp,B03XA01,EMEA/H/C/000872,"
Treatment of symptomatic anaemia associated with chronic renal failure (CRF) in adult and paediatric patients: 

treatment of anaemia associated with chronic renal failure in adult and paediatric patients on haemodialysis and adult patients on peritoneal dialysis;
treatment of severe anaemia of renal origin accompanied by clinical symptoms in adult patients with renal insufficiency not yet undergoing dialysis.


Treatment of anaemia and reduction of transfusion requirements in adult patients receiving chemotherapy for solid tumours, malignant lymphoma or multiple myeloma, and at risk of transfusion as assessed by the patient's general status (e.g. cardiovascular status, pre-existing anaemia at the start of chemotherapy).
Retacrit can be used to increase the yield of autologous blood from patients in a predonation programme. Its use in this indication must be balanced against the reported risk of thromboembolic events. Treatment should only be given to patients with moderate anaemia (no iron deficiency), if blood-saving procedures are not available or insufficient when the scheduled major elective surgery requires a large volume of blood (four or more units of blood for females orfive or more units for males).
Retacrit can be used to reduce exposure to allogeneic blood transfusions in adult non-iron-deficient patients prior to major elective orthopaedic surgery, having a high perceived risk for transfusion complications. Use should be restricted to patients with moderate anaemia (e.g. Hb 10-13 g/dl) who do not have an autologous predonation programme available and with expected moderate blood loss (900 to 1800 ml).
",Q20817271,,,,
825,Revasc,desirudin,1997-07-09,Withdrawn,Venous Thrombosis,index.jsp?curl=pages/medicines/human/medicines/000104/human_med_001032.jsp,B01AE01,EMEA/H/C/000104,Prevention of deep venous thrombosis in patients undergoing elective hip or knee replacement surgery.,,,,,
826,Revatio,sildenafil,2005-10-28,Authorised,"Hypertension, Pulmonary",index.jsp?curl=pages/medicines/human/medicines/000638/human_med_001033.jsp,G04BE03,EMEA/H/C/000638,"Treatment of adult patients with pulmonary arterial hypertension classified as World Health Organization (WHO) functional class II and III, to improve exercise capacity. Efficacy has been shown in primary pulmonary hypertension and pulmonary hypertension associated with connective tissue disease.
Paediatric population
Treatment of paediatric patients agedone year to 17 years old with pulmonary arterial hypertension. Efficacy in terms of improvement of exercise capacity or pulmonary haemodynamics has been shown in primary pulmonary hypertension and pulmonary hypertension associated with congenital heart disease.
Revatio solution for injection is for the treatment of adult patients with pulmonary arterial hypertension who are currently prescribed oral Revatio and who are temporarily unable to take oral therapy, but are otherwise clinically and haemodynamically stable.
Revatio (oral) is indicated for treatment of adult patients with pulmonary arterial hypertension classified as WHO functional class II and III, to improve exercise capacity. Efficacy has been shown in primary pulmonary hypertension and pulmonary hypertension associated with connective tissue disease.",Q191521,,136411,,
827,Revestive,teduglutide,2012-08-30,Authorised,Malabsorption Syndromes,index.jsp?curl=pages/medicines/human/medicines/002345/human_med_001583.jsp,A16AX08,EMEA/H/C/002345,Revestive is indicated for the treatment of patients aged 1 year and above with Short Bowel Syndrome. Patients should be stable following a period of intestinal adaptation after surgery.,Q7694156,,,,
828,Revinty Ellipta,fluticasone furoate / vilanterol trifenatate,2014-05-02,Authorised,Asthma,index.jsp?curl=pages/medicines/human/medicines/002745/human_med_001768.jsp,R03AK10,EMEA/H/C/002745,"Asthma IndicationRevinty Ellipta is indicated in the regular treatment of asthma in adults and adolescents aged 12 years and older, where use of a combination product (long-acting beta2-agonist and inhaled corticosteroid) is appropriate:

patients not adequately controlled with inhaled corticosteroids and as needed inhaled short acting beta2-agonists.

COPD IndicationRevinty Ellipta is indicated for the symptomatic treatment of adults with COPD with a FEV1 70% predicted normal (post-bronchodilator) in patients with an exacerbation history despite bronchodilator therapy.",,"['Q2166700', 'Q27145087']",,"['705022', '1424883']",1539887
829,Revlimid,lenalidomide,2007-06-14,Authorised,Multiple Myeloma,index.jsp?curl=pages/medicines/human/medicines/000717/human_med_001034.jsp,L04AX04,EMEA/H/C/000717,"Multiple myelomaRevlimid is indicated for the treatment of adult patients with previously untreated multiple myeloma who are not eligible for transplant.
Revlimid in combination with dexamethasone is indicated for the treatment of multiple myeloma in adult patients who have received at least one prior therapy.
Myelodysplastic syndromesRevlimid is indicated for the treatment of patients with transfusion-dependent anaemia due to low- or intermediate-1-risk myelodysplastic syndromes associated with an isolated deletion 5q cytogenetic abnormality when other therapeutic options are insufficient or inadequate.
Mantle cell lymphoma
Revlimid is indicated for the treatment of adult patients with relapsed or refractory mantle cell lymphoma.",Q425681,,342369,,
830,Revolade,eltrombopag olamine,2010-03-11,Authorised,"Purpura, Thrombocytopenic, Idiopathic",index.jsp?curl=pages/medicines/human/medicines/001110/human_med_001322.jsp,B02BX05,EMEA/H/C/001110,"Revolade is indicated for chronic immune (idiopathic) thrombocytopenic purpura (ITP) patients aged 1 year and above who are refractory to other treatments (e.g. corticosteroids, immunoglobulins) (see sections 4.2 and 5.1).
Revolade is indicated in adult patients with chronic hepatitis C virus (HCV) infection for the treatment of thrombocytopenia, where the degree of thrombocytopenia is the main factor preventing the initiation or limiting the ability to maintain optimal interferon-based therapy (see sections 4.4 and 5.1).
Revolade is indicated in adult patients with acquired severe aplastic anaemia (SAA) who were either refractory to prior immunosuppressive therapy or heavily pretreated and are unsuitable for haematopoietic stem cell transplantation (see section 5.1).",Q411588,,711942,,
831,Reyataz,atazanavir sulphate,2004-03-02,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/000494/human_med_001035.jsp,J05AE08,EMEA/H/C/000494,"Reyataz capsules, co-administered with low dose ritonavir, are indicated for the treatment of HIV-1 infected adults and paediatric patients 6 years of age and older in combination with other antiretroviral medicinal products (see section 4.2).
Based on available virological and clinical data from adult patients, no benefit is expected in patients with strains resistant to multiple protease inhibitors ( 4 PI mutations).
The choice of Reyataz in treatment experienced adult and paediatric patients should be based on individual viral resistance testing and the patients treatment history (see sections 4.4 and 5.1).
Reyataz oral powder, co-administered with low dose ritonavir, is indicated in combination with other antiretroviral medicinal products for the treatment of HIV-1 infected paediatric patients at least 3 months of age and weighing at least 5 kg (see section 4.2).
Based on available virological and clinical data from adult patients, no benefit is expected in patients with strains resistant to multiple protease inhibitors ( 4 PI mutations). The choice of Reyataz in treatment experienced adult and paediatric patients should be based on individual viral resistance testing and the patients treatment history (see sections 4.4 and 5.1).",Q423467,,343047,,
832,Rezolsta,darunavir / cobicistat,2014-11-19,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/002819/human_med_001817.jsp,J05,EMEA/H/C/002819,"Rezolsta, is indicated in combination with other antiretroviral medicinal products for the treatment of human immunodeficiency virus 1 (HIV 1) infection in adults aged 18 years or older.
Genotypic testing should guide the use of Rezolsta.",,"['Q3765251', 'Q5138908']",,"['460132', '1306284']",1598380
833,Rhucin,recombinant human C1 inhibitor,2008-05-22,Refused,Angioedema,index.jsp?curl=pages/medicines/human/medicines/000769/human_med_001036.jsp,B06C,EMEA/H/C/000769,Replacement treatment in acute attacks of angioedema in patients with congenital C1INH activity deficiency.,,,,,
834,Ribavirin BioPartners,ribavirin,2010-04-06,Withdrawn,"Hepatitis C, Chronic",index.jsp?curl=pages/medicines/human/medicines/001184/human_med_001301.jsp,J05AB04,EMEA/H/C/001184,"Ribavirin BioPartners is indicated for the treatment of chronic hepatitis-C-virus (HCV) infection in adults, childrenthree years of age and older and adolescents and must only be used as part of a combination regimen with interferon alfa-2b. Ribavirin monotherapy must not be used. There is no safety or efficacy information on the use of ribavirin with other forms of interferon (i.e. not alfa-2b).
Nave patients
Adult patients
Ribavirin BioPartners is indicated, in combination with interferon alfa-2b, for the treatment of adult patients with all types of chronic hepatitis C except genotype 1, not previously treated, without liver decompensation, with elevated alanine aminotransferase (ALT), who are positive for hepatitis C viral ribonucleic acid (HCV-RNA) (see section 4.4)
Childrenthree years of age and older and adolescents
Ribavirin BioPartners is intended for use, in a combination regimen with interferon alfa-2b, for the treatment of childrenthree years of age and older and adolescents, who have all types of chronic hepatitis C except genotype 1, not previously treated, without liver decompensation, and who are positive for HCV-RNA.
When deciding to not to defer treatment until adulthood, it is important to consider that the combination therapy induced a growth inhibition. The reversibility of growth inhibition is uncertain. The decision to treat should be made on a case by case basis (see section 4.4).
Previous-treatment-failure patients
Adult patients
Ribavirin BioPartners is indicated, in combination with interferon alfa-2b, for the treatment of adult patients with chronic hepatitis C who have previously responded (with normalisation of ALT at the end of treatment) to interferon alfa monotherapy but who have subsequently relapsed (see section 5.1).",Q421862,,9344,,
835,Ribavirin Mylan (previously Ribavirin Three Rivers),ribavirin,2010-06-10,Authorised,"Hepatitis C, Chronic",index.jsp?curl=pages/medicines/human/medicines/001185/human_med_001346.jsp,J05AB04,EMEA/H/C/001185,"Ribavirin Mylan is indicated for the treatment of chronic hepatitis C and must only be used as part of a combination regimen with interferon alfa-2b (adults, children (three years of age and older) and adolescents). Ribavirin monotherapy must not be used.
There is no safety or efficacy information on the use of ribavirin with other forms of interferon (i.e. not alfa-2b).
Please refer also to the interferon alfa-2b summary of product characteristics (SmPC) for prescribing information particular to that product.
Nave patients
Adult patients
Ribavirin Mylan is indicated, in combination with interferon alfa-2b, for the treatment of adult patients with all types ofchronic hepatitis C except genotype 1, not previously treated, without liver decompensation, with elevated alanine aminotransferase (ALT), who are positive for serum hepatitis-C-virus (HCV) RNA.
Children and adolescents
Ribavirin Mylan is indicated, in a combination regimen with interferon alfa-2b, for the treatment of children and adolescentsthree years of age and older, who have all types of chronic hepatitis C except genotype 1, not previously treated, without liver decompensation, and who are positive for serum HCV RNA. When deciding to not to defer treatment until adulthood, it is important to consider that the combination therapy induced a growth inhibition. The reversibility of growth inhibition is uncertain. The decision to treat should be made on a case-by-case basis (see section 4.4).
Previously treatment-failure patients
Adult patients
Ribavirin Mylan is indicated, in combination with interferon alfa-2b, for the treatment of adult patients with chronic hepatitis C who have previously responded (with normalisation of ALT at the end of treatment) to interferon alpha monotherapy but who have subsequently relapsed.",Q421862,,9344,,
